AccMag,period
13565.08241,0
13248.5304,0
13878.94399,0
13529.45082,0
13430.57541,0
13566.37967,0
13630.69653,0
13482.40332,0
13585.38108,0
13534.81892,0
13526.85484,0
13747.65135,0
13810.77709,0
13869.88526,0
15692.87522,0
13894.60818,0
13923.32125,0
14078.80335,0
13331.01869,0
13267.24297,0
13861.40305,0
12928.06686,0
13448.7854,0
13389.97766,0
13279.70421,0
13707.43542,0
12870.9043,0
13528.79601,0
13189.03639,0
12789.62706,1
13588.7858,1
13731.96435,1
13678.30911,1
14056.5872,1
13730.6102,1
13430.37343,1
13395.81853,1
13322.1531,1
13318.75062,1
13303.75934,1
13481.3539,1
13644.36909,1
13535.42145,1
13646.92649,1
13625.35908,1
13399.9428,0
13833.83831,0
14110.24944,0
14130.13697,0
14069.66504,0
14075.5359,0
14075.16359,0
14040.76237,0
14221.49638,0
14118.14269,0
14159.85743,0
14107.67185,0
14165.77003,0
14163.1658,0
14064.16225,0
14128.44935,0
14114.69432,0
14013.396,0
13456.33288,0
14070.87253,0
14060.15547,0
12854.35185,0
13094.16016,0
13366.28716,0
13387.53523,0
13414.00953,0
13181.0652,1
13136.79378,1
13681.62415,1
13738.18489,1
14047.72941,1
13265.63313,1
13141.28984,1
13066.0908,1
13724.29347,1
13980.61835,1
13777.69612,1
13408.85557,1
13088.99704,1
13566.45407,0
13365.67089,0
13584.15871,0
14181.23024,0
14064.16296,0
14007.67091,0
13950.6725,0
13739.81821,0
13482.1701,0
13522.5507,0
13684.06894,0
13134.44872,0
14187.3004,0
12641.10421,0
14251.32493,1
13902.26332,1
13026.51019,1
12902.1934,1
14222.58267,1
13992.7661,1
12881.08764,1
13461.73913,1
14527.06092,1
13662.89041,1
13159.45113,1
13952.2426,0
13303.26463,0
13511.57277,0
13319.92621,0
13436.72154,0
13378.72208,0
13347.69887,0
13576.88192,0
13208.17737,0
13361.93487,0
13325.31983,0
13350.55598,0
13376.8713,0
13249.13636,0
12872.74851,0
14585.32205,1
13962.24328,1
12930.32175,1
13439.6301,1
14463.12365,1
13356.96962,1
13162.44303,1
13181.16595,1
14639.97483,1
14420.02103,1
13803.62363,1
13409.93293,1
14258.68404,0
13695.10803,0
13629.88662,0
13382.28285,0
13492.69444,0
13979.63733,0
13406.47903,0
13134.14954,0
13782.69272,0
13234.5708,0
13217.58558,0
13795.88385,0
13425.39017,0
14085.42489,0
13293.09622,2
13316.05623,2
14790.16964,2
14549.52478,2
13214.72922,2
13388.98608,2
14855.36035,2
14814.56076,2
13200.95862,2
13167.44716,2
13704.59348,2
14821.8611,2
13972.472,0
13518.43576,0
13602.3086,0
13956.29918,0
14097.77032,0
14097.93043,0
14099.97806,0
14461.4427,0
13815.96454,0
13582.34361,0
13554.14867,0
13437.56931,0
13521.40667,0
13478.77163,0
13984.46384,0
13673.32543,0
13555.80802,0
13795.24506,0
13503.82043,0
13365.86782,0
13342.07177,0
13345.0768,0
13386.85664,0
13513.98327,0
13939.42014,0
13726.4262,0
13583.95677,0
13249.07653,0
